"","SS","Higher_taxon","number"
"869","VB1_2008a_Smith 1","Collembola",36
"870","VB1_2008a_Smith 1","Dermaptera",36
"871","VB1_2008a_Smith 1","Diplopoda",216
"872","VB1_2008a_Smith 1","Diptera",72
"873","VB1_2008a_Smith 1","Hemiptera",36
"874","VB1_2008a_Smith 1","Hymenoptera",72
"875","VB1_2008a_Smith 1","Lepidoptera",36
"876","VB1_2008a_Smith 1","Malacostraca",216
"877","VB1_2008a_Smith 1","Protura",36
"878","VB1_2008a_Smith 1","Psocodea",36
"879","VB1_2008a_Smith 1","Symphyla",36
"880","VB1_2008a_Smith 1","Thysanoptera",36
"881","VB1_2008__Murvanidze 1","Arachnida",1736
"882","VB1_2008__Smith 1","Chilopoda",240
"883","VB1_2008__Smith 1","Coleoptera",3440
"884","VB1_2008__Smith 1","Diplopoda",360
"885","VB1_2008__Smith 1","Malacostraca",240
"886","VB1_2009__Boutin 1","Arachnida",40
"887","VB1_2009__Boutin 1","Coleoptera",580
"888","VB1_2009__Boutin 1","Collembola",20
"889","VB1_2009__Boutin 1","Dermaptera",20
"890","VB1_2009__Boutin 1","Diplopoda",20
"891","VB1_2009__Boutin 1","Diptera",880
"892","VB1_2009__Boutin 1","Hemiptera",220
"893","VB1_2009__Boutin 1","Hymenoptera",340
"894","VB1_2009__Boutin 1","Lepidoptera",40
"895","VB1_2009__Boutin 1","Malacostraca",20
"896","VB1_2009__Boutin 1","Mecoptera",20
"897","VB1_2009__Boutin 1","Neuroptera",40
"898","VB1_2009__Boutin 1","Odonata",20
"899","VB1_2009__Boutin 1","Orthoptera",40
"900","VB1_2009__Boutin 1","Thysanoptera",20
"901","VB1_2009__Boutin 1","Trichoptera",40
"902","VB1_2009__Boutin 2","Arachnida",40
"903","VB1_2009__Boutin 2","Coleoptera",580
"904","VB1_2009__Boutin 2","Collembola",20
"905","VB1_2009__Boutin 2","Dermaptera",20
"906","VB1_2009__Boutin 2","Diplopoda",20
"907","VB1_2009__Boutin 2","Diptera",880
"908","VB1_2009__Boutin 2","Hemiptera",220
"909","VB1_2009__Boutin 2","Hymenoptera",340
"910","VB1_2009__Boutin 2","Lepidoptera",40
"911","VB1_2009__Boutin 2","Malacostraca",20
"912","VB1_2009__Boutin 2","Mecoptera",20
"913","VB1_2009__Boutin 2","Neuroptera",40
"914","VB1_2009__Boutin 2","Odonata",20
"915","VB1_2009__Boutin 2","Orthoptera",40
"916","VB1_2009__Boutin 2","Thysanoptera",20
"917","VB1_2009__Boutin 2","Trichoptera",40
"918","VB1_2009__Boutin 3","Arachnida",40
"919","VB1_2009__Boutin 3","Coleoptera",580
"920","VB1_2009__Boutin 3","Collembola",20
"921","VB1_2009__Boutin 3","Dermaptera",20
"922","VB1_2009__Boutin 3","Diplopoda",20
"923","VB1_2009__Boutin 3","Diptera",880
"924","VB1_2009__Boutin 3","Hemiptera",220
"925","VB1_2009__Boutin 3","Hymenoptera",340
"926","VB1_2009__Boutin 3","Lepidoptera",40
"927","VB1_2009__Boutin 3","Malacostraca",20
"928","VB1_2009__Boutin 3","Mecoptera",20
"929","VB1_2009__Boutin 3","Neuroptera",40
"930","VB1_2009__Boutin 3","Odonata",20
"931","VB1_2009__Boutin 3","Orthoptera",40
"932","VB1_2009__Boutin 3","Thysanoptera",20
"933","VB1_2009__Boutin 3","Trichoptera",40
"934","VB1_2009__UeharaPrado 1","Arachnida",138
"935","VB1_2009__UeharaPrado 1","Coleoptera",358
"936","VB1_2009__UeharaPrado 1","Malacostraca",10
"937","VB1_2011__desmedt 1","Diplopoda",66
"938","VB1_2011__desmedt 1","Malacostraca",36
"939","VB1_2012a_Carpenter 1","Arachnida",210
"940","VB1_2012a_Carpenter 1","Archaeognatha",105
"941","VB1_2012a_Carpenter 1","Blattodea",105
"942","VB1_2012a_Carpenter 1","Chilopoda",105
"943","VB1_2012a_Carpenter 1","Coleoptera",2835
"944","VB1_2012a_Carpenter 1","Dermaptera",105
"945","VB1_2012a_Carpenter 1","Diplopoda",105
"946","VB1_2012a_Carpenter 1","Diptera",210
"947","VB1_2012a_Carpenter 1","Hemiptera",105
"948","VB1_2012a_Carpenter 1","Hymenoptera",210
"949","VB1_2012a_Carpenter 1","Lepidoptera",105
"950","VB1_2012a_Carpenter 1","Malacostraca",420
"951","VB1_2012a_Carpenter 1","Orthoptera",105
"952","VB1_2012__Carpenter 1","Arachnida",42
"953","VB1_2012__Carpenter 1","Chilopoda",14
"954","VB1_2012__Carpenter 1","Coleoptera",28
"955","VB1_2012__Carpenter 1","Dermaptera",14
"956","VB1_2012__Carpenter 1","Diplopoda",14
"957","VB1_2012__Carpenter 1","Diptera",14
"958","VB1_2012__Carpenter 1","Hemiptera",14
"959","VB1_2012__Carpenter 1","Hymenoptera",28
"960","VB1_2012__Carpenter 1","Lepidoptera",14
"961","VB1_2012__Carpenter 1","Malacostraca",14
"962","VB1_2012__Carpenter 1","Maxillopoda",14
"963","VB1_2012__Carpenter 1","Mecoptera",14
"964","VB1_2012__Carpenter 1","Neuroptera",14
"965","VB1_2012__Carpenter 1","Orthoptera",14
"966","VB1_2012__Carpenter 1","Phthiraptera",14
"967","VB1_2012__Carpenter 1","Psocodea",14
"968","VB1_2012__Carpenter 1","Siphonaptera",14
"969","VB1_2012__Carpenter 1","Thysanoptera",14
"970","VB1_2012__Carpenter 1","Trichoptera",14
"971","VB1_2012__Carpenter 2","Arachnida",90
"972","VB1_2012__Carpenter 2","Archaeognatha",30
"973","VB1_2012__Carpenter 2","Chilopoda",30
"974","VB1_2012__Carpenter 2","Coleoptera",60
"975","VB1_2012__Carpenter 2","Dermaptera",30
"976","VB1_2012__Carpenter 2","Diplopoda",30
"977","VB1_2012__Carpenter 2","Diptera",30
"978","VB1_2012__Carpenter 2","Hemiptera",30
"979","VB1_2012__Carpenter 2","Hymenoptera",60
"980","VB1_2012__Carpenter 2","Lepidoptera",30
"981","VB1_2012__Carpenter 2","Malacostraca",30
"982","VB1_2012__Carpenter 2","Neuroptera",30
"983","VB1_2012__Carpenter 2","Orthoptera",30
"984","VB1_2012__Carpenter 2","Pauropoda",30
"985","VB1_2012__Carpenter 2","Psocodea",30
"986","VB1_2012__Carpenter 2","Thysanoptera",30
"987","VB1_2012__Carpenter 4","Arachnida",20
"988","VB1_2012__Carpenter 4","Coleoptera",20
"989","VB1_2012__Carpenter 4","Dermaptera",10
"990","VB1_2012__Carpenter 4","Diptera",10
"991","VB1_2012__Carpenter 4","Hemiptera",10
"992","VB1_2012__Carpenter 4","Hymenoptera",20
"993","VB1_2012__Carpenter 4","Lepidoptera",10
"994","VB1_2012__Carpenter 4","Mecoptera",10
"995","VB1_2012__Carpenter 4","Neuroptera",10
"996","VB1_2012__Carpenter 4","Odonata",10
"997","VB1_2012__Carpenter 4","Orthoptera",10
"998","VB1_2012__Carpenter 4","Psocodea",10
"999","VB1_2012__Carpenter 4","Siphonaptera",10
"1000","VB1_2012__Carpenter 4","Thysanoptera",10
"1001","VB1_2012__Carpenter 4","Trichoptera",10
"1002","VB1_2012__Carpenter 6","Arachnida",60
"1003","VB1_2012__Carpenter 6","Chilopoda",20
"1004","VB1_2012__Carpenter 6","Coleoptera",40
"1005","VB1_2012__Carpenter 6","Dermaptera",20
"1006","VB1_2012__Carpenter 6","Diplopoda",20
"1007","VB1_2012__Carpenter 6","Diptera",20
"1008","VB1_2012__Carpenter 6","Hemiptera",20
"1009","VB1_2012__Carpenter 6","Hymenoptera",40
"1010","VB1_2012__Carpenter 6","Lepidoptera",20
"1011","VB1_2012__Carpenter 6","Malacostraca",20
"1012","VB1_2012__Carpenter 6","Maxillopoda",20
"1013","VB1_2012__Carpenter 6","Mecoptera",20
"1014","VB1_2012__Carpenter 6","Neuroptera",20
"1015","VB1_2012__Carpenter 6","Orthoptera",20
"1016","VB1_2012__Carpenter 6","Phthiraptera",20
"1017","VB1_2012__Carpenter 6","Psocodea",20
"1018","VB1_2012__Carpenter 6","Siphonaptera",20
"1019","VB1_2012__Carpenter 6","Thysanoptera",20
"1020","VB1_2012__Carpenter 6","Trichoptera",20
"1021","VB1_2012__LeightonGoodall 1","Chilopoda",50
"1022","VB1_2012__LeightonGoodall 1","Coleoptera",570
"1023","VB1_2012__LeightonGoodall 1","Diplopoda",55
"1024","VB1_2012__LeightonGoodall 1","Hymenoptera",25
"1025","VB1_2012__LeightonGoodall 1","Malacostraca",25
"1026","VB1_2013__Burton 2","Arachnida",448
"1027","VB1_2013__Burton 2","Chilopoda",336
"1028","VB1_2013__Burton 2","Coleoptera",1960
"1029","VB1_2013__Burton 2","Collembola",56
"1030","VB1_2013__Burton 2","Dermaptera",56
"1031","VB1_2013__Burton 2","Diplopoda",224
"1032","VB1_2013__Burton 2","Diptera",56
"1033","VB1_2013__Burton 2","Hemiptera",168
"1034","VB1_2013__Burton 2","Hymenoptera",224
"1035","VB1_2013__Burton 2","Lepidoptera",56
"1036","VB1_2013__Burton 2","Malacostraca",280
"1037","VB1_2013__Burton 2","Pauropoda",56
"1038","VB1_2013__Burton 2","Thysanoptera",56
"1039","VB1_2013__Burton 3","Chilopoda",275
"1040","VB1_2013__Burton 3","Coleoptera",165
"1041","VB1_2013__Burton 3","Diplopoda",110
"1042","VB1_2013__Burton 3","Malacostraca",165
"1043","VB1_2015__Burton 1","Coleoptera",33
"1044","VB1_2015__Burton 1","Diplopoda",33
"1045","VB1_2015__Burton 1","Diptera",33
"1046","VB1_2015__Mumme 1","Arachnida",8672
"1047","VB1_2015__Mumme 1","Archaeognatha",96
"1048","VB1_2015__Mumme 1","Blattodea",800
"1049","VB1_2015__Mumme 1","Chilopoda",480
"1050","VB1_2015__Mumme 1","Coleoptera",5344
"1051","VB1_2015__Mumme 1","Dermaptera",160
"1052","VB1_2015__Mumme 1","Diplopoda",832
"1053","VB1_2015__Mumme 1","Diplura",32
"1054","VB1_2015__Mumme 1","Diptera",832
"1055","VB1_2015__Mumme 1","Hemiptera",2368
"1056","VB1_2015__Mumme 1","Hymenoptera",3584
"1057","VB1_2015__Mumme 1","Isoptera",448
"1058","VB1_2015__Mumme 1","Lepidoptera",1312
"1059","VB1_2015__Mumme 1","Malacostraca",1152
"1060","VB1_2015__Mumme 1","Mantodea",128
"1061","VB1_2015__Mumme 1","Neuroptera",32
"1062","VB1_2015__Mumme 1","Orthoptera",736
"1063","VB1_2015__Mumme 1","Plecoptera",192
"1064","VB1_2015__Mumme 1","Psocodea",544
"1065","VB1_2015__Mumme 1","Symphyla",64
"1066","VB1_2015__Mumme 1","Thysanoptera",288
"1067","VB1_2015__Mumme 1","Zygentoma",32
