,Study,dip_hym_cooks,col_lep_cooks,dip_col_cooks,dip_hemi_cooks,dip_lep_cooks,hemi_col_cooks,hemi_lep_cooks,hym_hemi_cooks,hym_lep_cooks,hym_col_cooks
57.0000,SE1_2012__Poveda 1,0.2318,0.0722,0.0013,0.0481,0.0870,0.0288,0.2266,0.4481,0.0031,0.1037
61.0000,SE1_2012__Poveda 2,0.3738,0.1034,0.1015,0.1600,0.5583,0.0003,0.1951,0.1205,0.0659,0.0230
4.0000,SE2_2010__Gaigher 1,0.0020,,0.0517,0.0033,,0.0219,,0.0177,,0.0156
91.0000,SH1_2012__Norfolk 1,,,,,,,,,,0.0478
83.0000,SJ2_2016__Fleurance 1,,,,,,0.0338,,0.0005,,0.0870
6.0000,SJ2_2016__Fleurance 2,0.0032,,0.0514,0.0567,,0.0799,,0.0008,,0.1217
27.0000,SJ2_2016__Fleurance 3,0.0134,,0.0256,0.0747,,0.0571,,0.0008,,0.1151
28.0000,SJ2_2016__Fleurance 4,0.0154,,0.0343,0.1091,,0.0899,,0.0003,,0.1307
84.0000,SJ2_2019__Eckert 1,,,,,,0.1315,,0.1983,,0.0736
76.0000,SS1_2011__Lange 1,,1.2299,,,,1.5089,0.4132,2.4744,2.9731,0.6656
32.0000,SS1_2015__Ponge 1,0.0197,0.0130,0.0111,0.0294,0.0104,0.0042,0.0168,0.0076,0.0063,0.0156
78.0000,TN1_2007__Bouyer 2,,1.3463,,,,,,,3.0546,0.5834
75.0000,TN1_2007__Bouyer 3,,0.5007,,,,,,,0.4408,0.9440
80.0000,TN1_2008__Ngai 1,,,0.0063,,,,,,,
17.0000,VB1_2005__Eggleton 1,0.0081,0.0051,0.0017,0.0291,0.0114,0.0121,0.0252,0.0477,0.0070,0.0068
33.0000,VB1_2005__Eggleton 2,0.0204,0.0040,0.0089,0.0197,0.0152,0.0081,0.0105,0.0122,0.0103,0.0074
90.0000,VB1_2006__Smith 1,,,,,,,,,,0.0147
88.0000,VB1_2006__Smith 2,,,,,,,,,,0.0081
14.0000,VB1_2008a_Smith 1,0.0069,0.0077,0.0008,0.0029,0.0009,0.0028,0.0046,0.0050,0.0030,0.0029
56.0000,VB1_2009__Boutin 1,0.2235,0.0003,0.1285,0.0630,0.1342,0.0321,0.0060,0.1500,0.0010,0.0099
47.0000,VB1_2009__Boutin 2,0.0895,0.0322,0.0043,0.0151,0.0404,0.0463,0.0002,0.0162,0.0093,0.0236
