,Study,dip_hym_cooks,hym_col_cooks,dip_col_cooks,hemi_col_cooks,col_lep_cooks,hym_hemi_cooks,hym_lep_cooks,dip_hemi_cooks,dip_lep_cooks,hemi_lep_cooks
53.0000,AD1_2011__Bates 1,0.1503,,,,,,,,,
54.0000,VB1_2012__Carpenter 2,0.1675,0.1415,0.2652,0.7838,6.5960,0.1292,0.0213,0.0419,0.0817,0.0660
55.0000,AD1_2009__Vergara 1,0.2394,0.2554,0.0811,,,,,,,
56.0000,CC1_2014__Rader 1,0.2520,0.5279,0.6894,,,,,,,
57.0000,SE1_2012__Poveda 1,0.2530,0.0071,0.0148,0.0299,0.0012,0.1221,0.0683,0.0225,0.0006,0.0317
58.0000,SE1_2012__Poveda 2,0.2530,0.0071,0.0148,0.0299,0.0187,0.1221,0.0374,0.0225,0.0627,0.2781
59.0000,AD1_2011__Power 1,0.2585,,,,,,0.0204,,0.0734,
60.0000,VB1_2012a_Carpenter 1,0.2882,0.5299,0.8940,1.9763,19.9627,0.1616,0.0773,0.7213,0.1068,0.3102
61.0000,CC1_2012__Waite 1,0.2957,0.1911,0.0159,0.0021,,0.2120,,0.0259,,
62.0000,VB1_2013__Burton 2,0.3704,0.7315,0.7660,1.0618,2.3908,0.1795,0.2157,0.4047,0.7242,0.1802
63.0000,AD1_2002__Kruess 1,0.5020,,,,,,,,,
64.0000,AD1_2011__Schuepp 1,0.5399,2.6747,0.3419,,,,,,,
65.0000,DI1_2013__Rousseau 2,0.7636,1.6185,0.4494,3.3124,19.8426,0.0996,1.1791,1.4811,0.7076,0.3129
66.0000,AD1_2011__Weiner 1,1.2188,0.2964,1.7323,0.7622,0.0229,1.5695,0.3257,2.0815,1.2979,1.0646
67.0000,AD2_2018__Salles 1,1.7186,2.6961,0.0393,0.0441,,6.6184,,0.1292,,
68.0000,AD1_2008__Billeter 6,8.2427,,,,,,,,,
69.0000,LC1_2018__Guo 1,,0.0007,,0.0003,0.0015,0.0001,0.0016,,,0.0038
70.0000,VB1_2006__Smith 2,,0.0170,,,,,,,,
71.0000,SJ2_2019__Eckert 1,,0.0202,,0.0390,,0.0836,,,,
72.0000,VB1_2006__Smith 1,,0.0273,,,,,,,,
73.0000,VB1_2012__LeightonGoodall 1,,0.0296,,,,,,,,
74.0000,SH1_2012__Norfolk 1,,0.0822,,,,,,,,
75.0000,SS1_2011__Lange 1,,0.1135,,0.0955,0.0842,0.6798,0.0522,,,0.0604
76.0000,SJ2_2016__Fleurance 1,,0.2984,,0.2802,,0.0088,,,,
77.0000,TN1_2007__Bouyer 2,,0.6446,,,0.9156,,2.9377,,,
78.0000,TN1_2007__Bouyer 3,,1.3051,,,0.9584,,0.2757,,,
79.0000,TN1_2008__Ngai 1,,,0.0081,,,,,,,
80.0000,CC1_2008__Schon 2,,,0.1100,0.6185,0.0179,,,0.0066,0.0201,0.0045
81.0000,VB1_2015__Burton 1,,,0.5240,,,,,,,
82.0000,HP1_2006__Lachat 1,,,,0.0165,,,,,,
83.0000,AD2_2017__Novais 2,,,,0.0239,,,,,,
84.0000,KS1_2006__Borges 1,,,,0.0454,0.0211,,,,,0.0230
85.0000,SC1_2011__Meijer 1,,,,7.6561,3.9299,,,,,0.7525
86.0000,MG1_2011__Schon 1,,,,,0.0302,,,,,
87.0000,CC1_2008__Schon 1,,,,,0.0462,,,,,
88.0000,LH2_2013__Kambach 2,,,,,3.4730,,,,,
89.0000,HW1_2011__Summerville 1,,,,,52.7811,,,,,
90.0000,AD1_2008__Franzen 1,,,,,,,0.0623,,,
91.0000,AD1_2007__Ockinger 1,,,,,,,0.1831,,,
