"","Study","dip_hym_cooks","col_lep_cooks","dip_col_cooks","dip_hemi_cooks","dip_lep_cooks","hemi_col_cooks","hemi_lep_cooks","hym_hemi_cooks","hym_lep_cooks","hym_col_cooks"
"52","CC1_2013__Litchwark 1",0.1361,0.0949,0.2084,NA,0.1281,NA,NA,NA,0.0461,0.0326
"53","VB1_2009__Boutin 3",0.1515,8e-04,0.03,0.082,0.0246,0.2014,0.1161,0.2611,0.0031,0.014
"54","CC1_2012__Waite 1",0.1731,NA,0.0152,0.0566,NA,0.007,NA,0.0884,NA,0.1103
"55","VB1_2012__Carpenter 2",0.2014,0.5959,0.3212,0.132,0.2934,0.1945,0.1468,0.4685,0.062,0.1316
"56","VB1_2009__Boutin 1",0.2235,3e-04,0.1285,0.063,0.1342,0.0321,0.006,0.15,0.001,0.0099
"57","SE1_2012__Poveda 1",0.2318,0.0722,0.0013,0.0481,0.087,0.0288,0.2266,0.4481,0.0031,0.1037
"58","AD1_2011__Power 1",0.2814,NA,NA,NA,0.006,NA,NA,NA,0.0764,NA
"59","VB1_2015__Mumme 1",0.3339,0.0473,0.2612,0.2055,0.7398,0.0446,0.0076,0.4869,0.6627,0.151
"60","AD1_2002__Kruess 1",0.3662,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","SE1_2012__Poveda 2",0.3738,0.1034,0.1015,0.16,0.5583,3e-04,0.1951,0.1205,0.0659,0.023
"62","AD2_2018__Salles 2",0.3953,NA,0.0772,0.1916,NA,0.0039,NA,0.3672,NA,0.7803
"63","AD1_2011__Schuepp 1",0.5219,NA,0.0591,NA,NA,NA,NA,NA,NA,1.1329
"64","VB1_2012a_Carpenter 1",0.5643,2.3117,0.3723,0.346,0.077,0.7118,0.3497,0.0614,0.3136,0.3592
"65","AD1_2011__Weiner 1",0.8407,0.0123,0.1854,2.5107,0.0688,1.2298,2.168,0.6329,0.0033,0.0073
"66","VB1_2013__Burton 2",1.2017,0.3702,0.4583,0.1451,0.4049,0.4912,0.2639,0.4953,0.2632,0.5234
"67","AD1_2008__Billeter 6",3.0986,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","DI1_2013__Rousseau 2",3.7922,1.1952,1.2118,4.7982,0.7936,2.2268,2.4669,2.0433,3.9826,3.7445
"69","CC1_2008__Schon 2",NA,0.0076,0.134,0.1608,0.0779,0.0307,0.0125,NA,NA,NA
"70","LC1_2018__Guo 1",NA,0.0146,NA,NA,NA,0.0121,0.0059,0.0121,0.0134,0.0096
"71","MG1_2011__Schon 1",NA,0.0152,NA,NA,NA,NA,NA,NA,NA,NA
"72","KS1_2006__Borges 1",NA,0.0295,NA,NA,NA,0.0035,0.0904,NA,NA,NA
"73","CC1_2008__Schon 1",NA,0.0416,NA,NA,NA,NA,NA,NA,NA,NA
"74","LH2_2013__Kambach 2",NA,0.2811,NA,NA,NA,NA,NA,NA,NA,NA
"75","TN1_2007__Bouyer 3",NA,0.5007,NA,NA,NA,NA,NA,NA,0.4408,0.944
"76","SS1_2011__Lange 1",NA,1.2299,NA,NA,NA,1.5089,0.4132,2.4744,2.9731,0.6656
"77","SC1_2011__Meijer 1",NA,1.2781,NA,NA,NA,1.7964,0.3664,NA,NA,NA
"78","TN1_2007__Bouyer 2",NA,1.3463,NA,NA,NA,NA,NA,NA,3.0546,0.5834
"79","HW1_2011__Summerville 1",NA,24.0952,NA,NA,NA,NA,NA,NA,NA,NA
"80","TN1_2008__Ngai 1",NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA
"81","VB1_2015__Burton 1",NA,NA,0.0556,NA,NA,NA,NA,NA,NA,NA
"82","AD2_2017__Novais 2",NA,NA,NA,NA,NA,0.008,NA,NA,NA,NA
"83","SJ2_2016__Fleurance 1",NA,NA,NA,NA,NA,0.0338,NA,5e-04,NA,0.087
"84","SJ2_2019__Eckert 1",NA,NA,NA,NA,NA,0.1315,NA,0.1983,NA,0.0736
"85","HP1_2006__Lachat 1",NA,NA,NA,NA,NA,0.2074,NA,NA,NA,NA
"86","AD1_2007__Ockinger 1",NA,NA,NA,NA,NA,NA,NA,NA,0.1365,NA
"87","AD1_2008__Franzen 1",NA,NA,NA,NA,NA,NA,NA,NA,0.4414,NA
"88","VB1_2006__Smith 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081
"89","VB1_2012__LeightonGoodall 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0091
"90","VB1_2006__Smith 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147
"91","SH1_2012__Norfolk 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0478
