"Order","Family","genus_or_species_n_rows","total_n_rows","percentage","num_genera_without_genus_value","num_genera_without_genus_value_with_real_names","num_rows_in_real_genera","num_SSBS_in_real_genera","avg_rows_per_SSBS_in_real_genera","countries_by_frequency"
"Orthoptera","Gryllacrididae",12,39,0.31,1,1,12,12,1,"Gabon"
"Orthoptera","Gryllidae",268,2614,0.1,6,6,268,256,1.046875,"Portugal, Hungary, Gabon, New Zealand, France, Japan"
"Orthoptera","Gryllotalpidae",12,22,0.55,1,1,12,12,1,"Gabon"
"Hymenoptera","Halictidae",1969,38460,0.05,23,23,1969,593,3.32040472175379,"Colombia, Brazil, Estonia, United States, Australia, Germany, Mexico, Serbia, Belize, Argentina, Canada, Czech Republic, Switzerland, Bolivia, Sweden"
"Lepidoptera","Heliozelidae",2,2,1,1,1,2,2,1,"Serbia"
"Neuroptera","Hemerobiidae",244,412,0.59,4,4,244,224,1.08928571428571,"Portugal, New Zealand, Gabon"
"Lepidoptera","Hepialidae",18,175,0.1,1,1,18,18,1,"New Zealand"
"Lepidoptera","Hesperiidae",1453,5321,0.27,63,63,1453,312,4.65705128205128,"Indonesia, Viet Nam, South Africa, India, Japan, Israel, Portugal, Spain, United States, Greece, Ghana, Palestine"
"Coleoptera","Histeridae",408,2108,0.19,33,10,132,62,2.12903225806452,"Brazil, Egypt, Spain, Gabon, United Kingdom"
"Diptera","Hybotidae",148,564,0.26,7,7,148,38,3.89473684210526,"Canada, Germany"
"Coleoptera","Hydrophilidae",144,3323,0.04,5,5,144,132,1.09090909090909,"United Kingdom, Gabon"
"Hymenoptera","Ichneumonidae",9091,12688,0.72,449,29,4051,407,9.95331695331695,"United States, Germany, New Zealand, Switzerland, Gabon, United Kingdom"
"Hemiptera","Issidae",81,228,0.36,7,2,21,21,1,"Gabon, Brazil"
"Dermaptera","Labiidae",15,15,1,1,1,15,15,1,"Kenya"
"Psocodea","Lachesillidae",192,192,1,1,1,192,192,1,"Portugal"
"Coleoptera","Laemophloeidae",75,640,0.12,3,3,75,21,3.57142857142857,"Brazil, Gabon"
"Coleoptera","Lampyridae",21,434,0.05,2,2,21,21,1,"Gabon, Brazil"
"Lepidoptera","Lasiocampidae",80,1222,0.07,1,1,80,80,1,"United States"
"Coleoptera","Latridiidae",1620,9703,0.17,7,7,1620,629,2.57551669316375,"New Zealand, Portugal, United Kingdom, Sweden, Canada, Gabon"
"Diptera","Lauxaniidae",216,266,0.81,9,9,216,102,2.11764705882353,"Canada, New Zealand, Germany, Gabon, Argentina, United States"
"Coleoptera","Leiodidae",302,8215,0.04,6,6,302,154,1.96103896103896,"United Kingdom, New Zealand, Gabon"
"Orthoptera","Lentulidae",272,272,1,3,3,272,68,4,"South Africa"
"Odonata","Lestidae",12,18,0.67,2,2,12,6,2,"Indonesia"
"Hymenoptera","Leucospidae",72,72,1,6,1,12,12,1,"Gabon"
"Odonata","Libellulidae",258,478,0.54,27,27,258,12,21.5,"Indonesia, India"
"Lepidoptera","Limacodidae",1584,1797,0.88,11,11,1584,144,11,"United States"
"Trichoptera","Limnephilidae",192,192,1,1,1,192,192,1,"Portugal"
"Diptera","Lonchaeidae",143,233,0.61,3,3,143,143,1,"United Kingdom, Germany, Canada, United States"
"Diptera","Lonchopteridae",29,204,0.14,1,1,29,29,1,"New Zealand, Canada"
